timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
565924518,-0.0040671593,-0.0032845617,-0.0009160369,5009,0,-0.7666474,0.35232633,-9.99889,5009,0,0,1,1
565929528,-0.005770394,-0.009064278,-0.0057693194,5010,0,-0.60998017,0.30673006,-9.7846155,5010,0,0,1,1
565934538,0.005465665,-0.001111069,0.00092416845,5010,0,-0.86307585,-0.074458435,-9.791025,5010,0,0,1,1
565939547,4.605651e-05,-0.00083939097,-0.0026794823,5009,0,-0.6110548,0.32401708,-10.097457,5009,0,0,1,1
565944557,-0.013042213,-0.009307302,0.0050768172,5010,0,-0.6868892,0.21052691,-9.942797,5010,0,0,1,1
565949566,-0.002844074,0.0026802004,-0.0001354804,5009,0,-0.9175833,0.22621864,-9.909549,5009,0,0,1,1
565954576,-0.0010452546,0.017761268,0.0060706777,5010,0,-0.9353021,0.2141595,-9.75222,5010,0,0,1,1
565959586,-0.022868931,-0.011315238,0.005024433,5010,0,-0.5136586,0.54708046,-10.046086,5010,0,0,1,1
565964595,-0.0061972914,0.009173686,0.0015904703,5009,0,-0.71510977,-0.0560387,-9.834533,5009,0,0,1,1
565969605,-0.0016536678,-0.0056064334,0.00011578612,5010,0,-0.89641887,0.2020312,-10.099155,5010,0,0,1,1
565974614,-0.011774094,-0.006492872,-0.0046849237,5009,0,-0.60315084,0.38631895,-9.912546,5009,0,0,1,1
565979625,0.0032253694,0.0039231507,-0.009590599,5011,0,-0.8485139,0.22995226,-10.205022,5011,0,0,1,1
565984636,0.008199483,0.0042021456,-0.00157278,5011,0,-0.9267488,0.01658501,-9.739574,5011,0,0,1,1
565989643,-0.008656023,0.00027787228,-0.004408313,5007,0,-0.7113323,0.42664126,-9.7974205,5007,0,0,1,1
565994653,-0.0008818495,-0.0060570533,-0.0003055229,5010,0,-0.59509754,0.1941044,-10.084862,5010,0,0,1,1
565999662,-0.0014878534,-0.0073290556,-0.0036814662,5009,0,-0.6978718,0.18733926,-10.04412,5009,0,0,1,1
566004672,-0.0073501156,-0.013798481,0.0012552586,5010,0,-0.6551576,0.1168573,-10.018699,5010,0,0,1,1
566009682,-0.0077248826,0.005507373,-0.0002541024,5010,0,-1.0298833,0.28712806,-9.902783,5010,0,0,1,1
566014691,-0.004104858,-0.003177749,0.0075785066,5009,0,-0.88678885,0.084384754,-9.925469,5009,0,0,1,1
